Spain, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 24/10/2018
Year    Age        Exposure
1945     12       286649.90
1945     13       274523.53
1945     14       278611.70
1945     15       273843.98
1945     16       271946.76
1945     17       270317.87
1945     18       266895.75
1945     19       260028.20
1945     20       259634.61
1945     21       256095.00
1945     22       260044.88
1945     23       250916.60
1945     24       242326.42
1945     25       236137.08
1945     26       202887.63
1945     27       223232.37
1945     28       215568.53
1945     29       213560.95
1945     30       221811.25
1945     31       212206.78
1945     32       218818.78
1945     33       206338.67
1945     34       219452.02
1945     35       206432.61
1945     36       179803.56
1945     37       192229.48
1945     38       181870.43
1945     39       187691.41
1945     40       188595.95
1945     41       179206.00
1945     42       178464.09
1945     43       170492.34
1945     44       192774.69
1945     45       184256.43
1945     46       136091.60
1945     47       141286.39
1945     48       140471.86
1945     49       149199.44
1945     50       144529.45
1945     51       130987.03
1945     52       131895.54
1945     53       126302.24
1945     54       141835.29
1945     55       131796.96
1946     12       278457.00
1946     13       287405.66
1946     14       274018.66
1946     15       277990.68
1946     16       274250.33
1946     17       270837.28
1946     18       269372.11
1946     19       266373.30
1946     20       259610.32
1946     21       259181.00
1946     22       254562.37
1946     23       257776.82
1946     24       248300.81
1946     25       240517.52
1946     26       234371.72
1946     27       200351.17
1946     28       220269.51
1946     29       212118.15
1946     30       210126.19
1946     31       219335.68
1946     32       210193.65
1946     33       216125.40
1946     34       204847.49
1946     35       217608.64
1946     36       204844.51
1946     37       180094.57
1946     38       191418.17
1946     39       181225.10
1946     40       187469.55
1946     41       188006.92
1946     42       178173.31
1946     43       177229.28
1946     44       169408.33
1946     45       191283.26
1946     46       183140.88
1946     47       135588.98
1946     48       140076.44
1946     49       139689.04
1946     50       147575.40
1946     51       142876.80
1946     52       129921.66
1946     53       129950.25
1946     54       124585.32
1946     55       139162.85
1947     12       268493.27
1947     13       278629.78
1947     14       288132.65
1947     15       273484.43
1947     16       277316.53
1947     17       274548.94
1947     18       269632.33
1947     19       268415.82
1947     20       265856.93
1947     21       259191.52
1947     22       258683.65
1947     23       252966.47
1947     24       255533.92
1947     25       245717.21
1947     26       238700.93
1947     27       232604.84
1947     28       197811.40
1947     29       217357.17
1947     30       208679.80
1947     31       206785.32
1947     32       216955.96
1947     33       208133.69
1947     34       213477.37
1947     35       203371.47
1947     36       215779.51
1947     37       203328.23
1947     38       180382.01
1947     39       190653.77
1947     40       180500.89
1947     41       187266.72
1947     42       187489.72
1947     43       177064.04
1947     44       176041.25
1947     45       168199.71
1947     46       189756.49
1947     47       182069.06
1947     48       135004.71
1947     49       138863.40
1947     50       138731.12
1947     51       145972.30
1947     52       141278.46
1947     53       128688.23
1947     54       128015.10
1947     55       122772.58
1948     12       268484.29
1948     13       268759.26
1948     14       278780.94
1948     15       288835.42
1948     16       272923.64
1948     17       276594.86
1948     18       274825.21
1948     19       268445.89
1948     20       267493.41
1948     21       265393.39
1948     22       258763.93
1948     23       258159.30
1948     24       251418.09
1948     25       253343.73
1948     26       243180.97
1948     27       236933.35
1948     28       230890.29
1948     29       195385.93
1948     30       214492.45
1948     31       205344.64
1948     32       203536.82
1948     33       214528.97
1948     34       206143.44
1948     35       210877.85
1948     36       201911.75
1948     37       214002.81
1948     38       201801.56
1948     39       180708.76
1948     40       189849.24
1948     41       179870.33
1948     42       187187.67
1948     43       186930.00
1948     44       176016.97
1948     45       174787.36
1948     46       167019.95
1948     47       188340.96
1948     48       180982.81
1948     49       134455.25
1948     50       137551.50
1948     51       137889.01
1948     52       144483.81
1948     53       139604.30
1948     54       127551.54
1948     55       126039.67
1949     12       249022.89
1949     13       269581.61
1949     14       269011.57
1949     15       278922.58
1949     16       289537.79
1949     17       272330.48
1949     18       275848.05
1949     19       275132.33
1949     20       267320.09
1949     21       266629.11
1949     22       264926.99
1949     23       258340.41
1949     24       257698.70
1949     25       249945.03
1949     26       251236.50
1949     27       240725.55
1949     28       235232.69
1949     29       229287.91
1949     30       192980.34
1949     31       211721.14
1949     32       202097.57
1949     33       200233.78
1949     34       212147.60
1949     35       204159.87
1949     36       208249.73
1949     37       200465.59
1949     38       212210.38
1949     39       200312.07
1949     40       181016.04
1949     41       189131.55
1949     42       179329.76
1949     43       187064.65
1949     44       186436.90
1949     45       174933.74
1949     46       173549.93
1949     47       165907.04
1949     48       186866.79
1949     49       179917.05
1949     50       133821.23
1949     51       136319.00
1949     52       137120.35
1949     53       142894.55
1949     54       137942.09
1949     55       126305.11
1950     12       220633.15
1950     13       249431.25
1950     14       270666.53
1950     15       269264.76
1950     16       279054.28
1950     17       290191.94
1950     18       271728.18
1950     19       275159.27
1950     20       275483.86
1950     21       266244.84
1950     22       265795.28
1950     23       264483.49
1950     24       257989.38
1950     25       257328.88
1950     26       248554.34
1950     27       249213.25
1950     28       238332.59
1950     29       233627.89
1950     30       227734.63
1950     31       190678.93
1950     32       209035.68
1950     33       198817.52
1950     34       196994.50
1950     35       209799.49
1950     36       202182.31
1950     37       205672.12
1950     38       199039.12
1950     39       210485.11
1950     40       198805.23
1950     41       181373.91
1950     42       188455.71
1950     43       178734.48
1950     44       187003.73
1950     45       185890.76
1950     46       173828.45
1950     47       172342.88
1950     48       164741.53
1950     49       185401.69
1950     50       178716.47
1950     51       133219.08
1950     52       135120.56
1950     53       136222.14
1950     54       141279.40
1950     55       136184.64
1951     12       191511.37
1951     13       219484.75
1951     14       249779.73
1951     15       270027.97
1951     16       268044.06
1951     17       277596.73
1951     18       289230.29
1951     19       268722.47
1951     20       275068.19
1951     21       273729.15
1951     22       263830.66
1951     23       264034.49
1951     24       262616.40
1951     25       256351.17
1951     26       255331.38
1951     27       246376.84
1951     28       246727.99
1951     29       235925.38
1951     30       232542.33
1951     31       224981.82
1951     32       189184.29
1951     33       206890.95
1951     34       195995.46
1951     35       195130.72
1951     36       207965.53
1951     37       200083.91
1951     38       203446.08
1951     39       198454.95
1951     40       207650.69
1951     41       198187.68
1951     42       180903.39
1951     43       187000.12
1951     44       177988.68
1951     45       186382.83
1951     46       184061.71
1951     47       172490.05
1951     48       170964.50
1951     49       163555.17
1951     50       183733.94
1951     51       176851.97
1951     52       132251.76
1951     53       133947.70
1951     54       135782.35
1951     55       139516.79
1952     12       224167.31
1952     13       190637.91
1952     14       218292.40
1952     15       248565.80
1952     16       268076.18
1952     17       265439.03
1952     18       274680.32
1952     19       286038.49
1952     20       266285.67
1952     21       273041.79
1952     22       270809.71
1952     23       260613.80
1952     24       261060.29
1952     25       259597.83
1952     26       253295.61
1952     27       252632.39
1952     28       243805.50
1952     29       244265.79
1952     30       234027.30
1952     31       230424.49
1952     32       223071.31
1952     33       188207.08
1952     34       205179.60
1952     35       194448.85
1952     36       193748.51
1952     37       206046.94
1952     38       198319.59
1952     39       202024.54
1952     40       196887.13
1952     41       205687.02
1952     42       196867.21
1952     43       179751.92
1952     44       185433.51
1952     45       176749.61
1952     46       184600.32
1952     47       182059.58
1952     48       170975.61
1952     49       169562.27
1952     50       162215.07
1952     51       181442.15
1952     52       174594.98
1952     53       131357.42
1952     54       133292.17
1952     55       135247.99
1953     12       231080.95
1953     13       223700.86
1953     14       189782.52
1953     15       217136.86
1953     16       247417.68
